"PremisesPostCode","Liberal.National.Coalition.Votes","Australian.Labor.Party.Votes","TotalVotes","Electorate","PartyAb","PartyGrouping","LaborMargin","State..Territory1","Statistical.Area.Level.4..SA4.2","Individuals.no.","Taxable.income.or.loss4.no.","Taxable.income.or.loss4..","Salary.or.wages.no.","Salary.or.wages..","HELP.debt.balance.no.","HELP.debt.balance..","Average.HELP.debt","HecsPostcodeShare","Average.Income","Average.Salary","Average.HECS.Average.Salary"
4014,1899,3416,5315,"Lilley","ALP","Labor",14.2709313264346,"QLD","Brisbane - North",8713,8639,672072419,7540,582786864,1590,39908101,25099.434591195,18.2485940548606,77795.1636763514,77292.6875331565,0.324732330990923
4017,5092,7025,12117,"Lilley","ALP","Labor",7.97639679788726,"QLD","Brisbane - North",23090,22876,1597214840,19191,1364807431,3931,90828828,23105.7817349275,17.0246860112603,69820.5472984787,71117.0564848106,0.32489789196861
4018,1311,1846,3157,"Petrie","LNP","Coalition",8.47323408299017,"QLD","Brisbane - North",8410,8308,510793275,7011,446240059,1424,36236530,25447.0014044944,16.9322235434007,61482.0985796822,63648.5606903437,0.399804820855203
4019,2612,2463,5075,"Petrie","LNP","Coalition",-1.4679802955665,"QLD","Moreton Bay - North",12001,11861,748507278,9519,614874450,1799,39526704,21971.486381323,14.9904174652112,63106.591181182,64594.4374409077,0.340145177383469
4020,10369,7951,18320,"Petrie","LNP","Coalition",-6.59934497816594,"QLD","Moreton Bay - North",15841,15649,1111381613,11799,830460574,2048,45914481,22419.1801757812,12.9284767375797,71019.3375295546,70383.9794897873,0.318526749102532
4021,1532,1363,2895,"Petrie","LNP","Coalition",-2.91882556131261,"QLD","Moreton Bay - North",5191,5132,280212450,4286,244793649,714,14783168,20704.7170868347,13.7545752263533,54601.0229929852,57114.7104526365,0.362511110058144
4022,560,405,965,"Petrie","LNP","Coalition",-8.03108808290155,"QLD","Moreton Bay - North",3909,3859,211115872,3203,184324543,667,14397391,21585.2938530735,17.0631875159887,54707.4039906712,57547.4689353731,0.375086763195687
4030,2044,3159,5203,"Brisbane","GRN","Greens",10.7149721314626,"QLD","Brisbane Inner City",12608,12513,1124023907,10889,893704090,3503,106731549,30468.6123322866,27.7839467005076,89828.4909294334,82074.0279180825,0.371233301266719
4031,1689,2542,4231,"Lilley","ALP","Labor",10.0803592531316,"QLD","Brisbane - North",9425,9355,790626902,8175,669591032,2174,60269597,27722.9057037718,23.0663129973475,84513.8323890967,81907.1598776758,0.338467427575008
4032,13099,15876,28975,"Lilley","ALP","Labor",4.79206212251941,"QLD","Brisbane - North",11838,11718,773620835,9670,644421484,2465,66759823,27083.092494929,20.8227741172495,66019.8698583376,66641.3116856257,0.406400951750335
4034,10659,14981,25640,"Lilley","ALP","Labor",8.42823712948518,"QLD","Brisbane - North",29157,28889,1929859519,23685,1620150465,5342,134953171,25262.6677274429,18.3215008402785,66802.5725708747,68404.0728309056,0.369315256854545
4035,4064,3109,7173,"Dickson","LNP","Coalition",-6.65690784887774,"QLD","Moreton Bay - South",18184,18018,1499113355,14625,1166175557,3164,77922595,24627.8745259166,17.3999120105587,83200.8744033744,79738.4996239316,0.308858012654719
4036,799,877,1676,"Petrie","LNP","Coalition",2.32696897374701,"QLD","Brisbane - North",4334,4295,265034056,3706,238691854,754,17035084,22592.949602122,17.397323488694,61707.5799767171,64406.8683216406,0.350784787257399
4037,1651,1298,2949,"Dickson","LNP","Coalition",-5.98507968802984,"QLD","Moreton Bay - South",5190,5156,395231860,4377,336516725,918,21641670,23574.8039215686,17.6878612716763,76654.7439875873,76882.9620744802,0.306632357618201
4051,3773,4909,8682,"Brisbane","GRN","Greens",6.54227136604469,"QLD","Brisbane Inner City",19330,19195,1990594432,16498,1463369159,4881,137583950,28187.6562179881,25.2509053285049,103703.799531128,88699.7914292642,0.317787175863509
4053,5362,7493,12855,"Lilley","ALP","Labor",8.28860365616492,"QLD","Brisbane - North",30508,30250,2303556717,25773,1973068933,6847,177652812,25946.0803271506,22.4432935623443,76150.6352727273,76555.6564233888,0.338917874123586
4054,1690,2434,4124,"Ryan","GRN","Greens",9.02036857419981,"QLD","Moreton Bay - South",8660,8598,593312933,7187,516393441,1792,43591379,24325.5463169643,20.6928406466513,69005.9238194929,71851.0422985947,0.338555232307884
4055,8087,8505,16592,"Dickson","LNP","Coalition",1.25964320154291,"QLD","Brisbane - West",14092,13973,1090704588,11751,926221114,2531,59183744,23383.5416831292,17.9605449900653,78058.0110212553,78820.6207131308,0.296667819557449
4059,627,1504,2131,"Brisbane","GRN","Greens",20.577193805725,"QLD","Brisbane Inner City",8827,8716,722936145,7609,557687592,2757,81355048,29508.5411679362,31.2337147388694,82943.5687241854,73293.1517939282,0.402609799765504
4060,2166,2730,4896,"Brisbane","GRN","Greens",5.75980392156863,"QLD","Brisbane Inner City",8799,8742,961858471,7172,693422817,2145,56932451,26541.9351981352,24.3777702011592,110027.27876916,96684.7207194646,0.274520472321039
4061,5682,7025,12707,"Ryan","GRN","Greens",5.28448886440545,"QLD","Brisbane - West",11049,10937,986600795,8651,754804458,2124,53612657,25241.3639359699,19.2234591365734,90207.6250342873,87250.5442145417,0.289297495656915
4064,2099,3360,5459,"Brisbane","GRN","Greens",11.5497343835867,"QLD","Brisbane Inner City",8887,8806,990602575,7396,671035575,2585,82732062,32004.6661508704,29.0874310791043,112491.775493981,90729.5260951866,0.352748080236785
4065,1814,2417,4231,"Ryan","GRN","Greens",7.12597494682108,"QLD","Brisbane Inner City",6511,6447,805590430,5110,543601525,1477,41695236,28229.6790792146,22.6846874520043,124955.860089964,106379.946183953,0.265366547849156
4066,1073,1957,3030,"Ryan","GRN","Greens",14.5874587458746,"QLD","Brisbane Inner City",12925,12774,1175119062,10688,850631131,3824,119148622,31158.1124476987,29.5860735009671,91993.0375763269,79587.4935441617,0.391495083714499
4067,1273,1832,3105,"Ryan","GRN","Greens",9.00161030595813,"QLD","Brisbane - West",6961,6819,541899302,5369,353617858,2075,59776188,28807.8014457831,29.8089354977733,79469.0280099721,65862.8902961445,0.43739048371932
4068,8315,9961,18276,"Ryan","GRN","Greens",4.50317356095425,"QLD","Brisbane - West",17064,16821,1711284265,13237,1075382205,4351,134206513,30844.9811537578,25.4981247069855,101734.989893585,81240.6289189393,0.379674327540404
4069,5645,4766,10411,"Ryan","GRN","Greens",-4.22149649409278,"QLD","Brisbane - West",23000,22736,2561740147,17068,1651120201,4286,118637475,27680.2321511899,18.6347826086957,112673.29992083,96737.7666393251,0.286136770702928
